T_2DX|IIDX
T_9CLOCK|9 O'Clocks
T_ADVANC|ADVANCE
T_ALLRIG|ALL RIGHT
T_AY_CARUMBA|ay carumba!!
T_BDOWN|BRING HER DOWN
T_BEDAYS|Beautiful Days
T_BFOYOU|BALLAD FOR YOU
T_BIGGES|The Biggest Roaster
T_BUFYOU|BURNING UP FOR YOU
T_CMUSIC|CLOUDY MUSIC
T_COMEW|Come With Me
T_DEADLI|Deadline
T_DISSOL|dissolve
T_DROWIN|LOVE IS DROWING
T_DTEPO1|dong-tepo no. 1
T_ENTRAN|entrance
T_EVCAFE|E.V CAFE
T_FANTAS|FANTASY
T_FAWAY|Fly Away (Instrumental)
T_FBP|FUNKY BINGO PARADISE
T_FLUTEM|FLUTE MAN
T_FUN|fun
T_GENERA|General Relativity
T_GMIYS|Get me in your sight
T_HBEAT|HEARTBEAT
T_HBGATE|HYPER BOUNDARY GATE
T_HEADAC|Headache
T_HHIKER|Hitch Hiker
T_HONEY|Honey
T_HORMIG|Hormiga obrera
T_ICF58|I.C.F.5800
T_JAM|JAM
T_JELLYK|jelly kiss
T_LETSRU|Let's run
T_LGENER|LOVE GENERATION
T_LUV2|Luv 2 Feel Your Body
T_NWYORK|New York
T_OLIMIT|OUTER LIMITS
T_OTCMIX|OVER THE CLOUDS Rmx
T_PDREAM|POWER DREAM
T_R80S|route 80s
T_REMEMB|REMEMBER ME
T_ROMEO|ROMEO&JULIET
T_RTRB|Ready To Rockit Blues
T_SAVAGE|SWEETEST SAVAGE
T_SCLONE|Small clone
T_SCORE|SCORE
T_SGOLD|SOLID GOLD
T_SHAKIN|Shakin' 31
T_SILHOE|Silhoette of My Mind
T_SMOKE|Smoke
T_SNOW|SNOW
T_SOFTL|SOFT LANDING ON THE BODY
T_SOMEBO|Somebody Like You
T_STARDR|STAR DREAM
T_STICKA|Stick Around
T_STM3|SPEED TRANCE MACH 3
T_SWITCH|SWITCH
T_TBEOFS|The Beauty Of Silence
T_TRIBAL|TRIBAL MASTER
T_WOW70S|Wow Wow 70's
T_WTTW|WANNA TELL THAT WORD
T_YESTER|YESTERDAY
